date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:47	79152/79152	---M--	200	added ('OK')	application/javascript	etag:%226a065e3-13530-566aefdcd8300%22	http://fakye.web-cartel.com/js/owl.carousel/owl.carousel.js	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/owl.carousel/owl.carousel.js	(from http://fakye.web-cartel.com/)
10:14:52	11891/11891	---M-Z	200	added ('OK')	application/javascript	etag:%2252ef5c943baad21:0%22	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	F:/My%20Web%20Sites/FAKYE/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from http://fakye.web-cartel.com/)
10:14:55	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a0549b-4e9f-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regular.eot	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regular.eot	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:14:55	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a054a0-4e9f-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regulard41d.eot?	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:14:58	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%226a0549f-466c-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regular.woff2	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regular.woff2	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:14:59	23424/23424	---M--	200	added ('OK')	font/woff	etag:%226a0549e-5b80-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regular.woff	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regular.woff	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:15:02	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%226a0549c-1a8c2-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regular.svg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regular.svg	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:15:03	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:15:07%20GMT	http://fakye.web-cartel.com/fonts/dropify.eot	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/dropify.eot	(from http://fakye.web-cartel.com/css/dropify.min.css)
10:15:03	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:15:07%20GMT	http://fakye.web-cartel.com/fonts/dropify.woff	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/dropify.woff	(from http://fakye.web-cartel.com/css/dropify.min.css)
10:15:04	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:15:07%20GMT	http://fakye.web-cartel.com/fonts/dropify.ttf	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/dropify.ttf	(from http://fakye.web-cartel.com/css/dropify.min.css)
10:15:04	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:15:08%20GMT	http://fakye.web-cartel.com/fonts/dropify.svg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/dropify.svg	(from http://fakye.web-cartel.com/css/dropify.min.css)
10:15:05	993/993	---M--	200	added ('OK')	image/png	etag:%2269c136d-3e1-57492ca0621c0%22	http://fakye.web-cartel.com/images/slt_btn_cat.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/slt_btn_cat.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:09	45404/45404	---M--	200	added ('OK')	font/ttf	etag:%226a0549d-b15c-566aefdaefe80%22	http://fakye.web-cartel.com/fonts/glyphicons-halflings-regular.ttf	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/fonts/glyphicons-halflings-regular.ttf	(from http://fakye.web-cartel.com/css/bootstrap.min.css)
10:15:33	19707/19707	---M--	200	added ('OK')	image/png	etag:%2269c135a-4cfb-5680471fb3640%22	http://fakye.web-cartel.com/images/category_bg.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/category_bg.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:36	16819/16819	---M--	200	added ('OK')	image/png	etag:%2269c1368-41b3-57492ca432ac0%22	http://fakye.web-cartel.com/images/vfx_counter_bg.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/vfx_counter_bg.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:38	1425158/1425158	---M--	200	added ('OK')	image/png	etag:%226a054d3-15bf06-5718695e62e80%22	http://fakye.web-cartel.com/images/listing/1532197736.Screen%20Shot%202018-02-27%20at%2010.33.35%20AM.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/listing/1532197736.Screen%20Shot%202018-02-27%20at%2010.33.35%20AM.png	(from http://fakye.web-cartel.com/)
10:15:39	1631/1631	---M--	200	added ('OK')	image/png	etag:%2269c1350-65f-57492ca33e880%22	http://fakye.web-cartel.com/images/top-move.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/top-move.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:58	333171/333171	---M--	200	added ('OK')	image/jpeg	etag:%2269c1360-51573-57492c96d8b40%22	http://fakye.web-cartel.com/images/inner_search_bg.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/inner_search_bg.jpg	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:59	1067/1067	---M--	200	added ('OK')	image/png	etag:%2269c1389-42b-57492c94f06c0%22	http://fakye.web-cartel.com/images/ic_right.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/ic_right.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:15:59	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:03%20GMT	http://fakye.web-cartel.com/images/add-image.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/add-image.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:00	1125/1125	---M--	200	added ('OK')	image/png	etag:%2269c138d-465-57492c9214000%22	http://fakye.web-cartel.com/images/form-icon-2.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/form-icon-2.png	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:02	333171/333171	---M--	200	added ('OK')	image/jpeg	etag:%2269c1364-51573-57492c8a72e00%22	http://fakye.web-cartel.com/images/banner.jpg	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/images/banner.jpg	(from http://fakye.web-cartel.com/css/stylesheet.css)
10:16:03	33053/33053	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Dec%202018%2010:16:07%20GMT	http://fakye.web-cartel.com/js/owl.carousel/owl.video.play.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/owl.carousel/owl.video.play.60.delayed	(from http://fakye.web-cartel.com/js/owl.carousel/owl.carousel.css)
10:16:04	115/115	---M--	200	added ('OK')	image/png	etag:%226a065c0-73-566aefdcd8300%22	http://fakye.web-cartel.com/js/colorbox/example1/images/overlay.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/colorbox/example1/images/overlay.png	(from http://fakye.web-cartel.com/js/colorbox/example1/colorbox.css)
10:16:04	1261/1261	---M--	200	added ('OK')	image/png	etag:%226a065bd-4ed-566aefdcd8300%22	http://fakye.web-cartel.com/js/colorbox/example1/images/controls.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/colorbox/example1/images/controls.png	(from http://fakye.web-cartel.com/js/colorbox/example1/colorbox.css)
10:16:04	76/76	---M--	200	added ('OK')	image/png	etag:%226a065bc-4c-566aefdcd8300%22	http://fakye.web-cartel.com/js/colorbox/example1/images/border.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/colorbox/example1/images/border.png	(from http://fakye.web-cartel.com/js/colorbox/example1/colorbox.css)
10:16:05	131/131	---M--	200	added ('OK')	image/png	etag:%226a065bf-83-566aefdcd8300%22	http://fakye.web-cartel.com/js/colorbox/example1/images/loading_background.png	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/colorbox/example1/images/loading_background.png	(from http://fakye.web-cartel.com/js/colorbox/example1/colorbox.css)
10:16:07	8685/8685	---M--	200	added ('OK')	image/gif	etag:%226a065be-21ed-566aefdcd8300%22	http://fakye.web-cartel.com/js/colorbox/example1/images/loading.gif	F:/My%20Web%20Sites/FAKYE/fakye.web-cartel.com/js/colorbox/example1/images/loading.gif	(from http://fakye.web-cartel.com/js/colorbox/example1/colorbox.css)
